Package,License,maintainer,DOI
MineICA,GPL-2,Anne Biton,10.18129/B9.BIOC.MINEICA
minet,Artistic-2.0,Patrick E. Meyer,10.18129/B9.BIOC.MINET
MinimumDistance,Artistic-2.0,Robert Scharpf,10.18129/B9.BIOC.MINIMUMDISTANCE
MiPP,GPL (>= 2),Sukwoo Kim,10.18129/B9.BIOC.MIPP
miQC,BSD_3_clause,Ariel Hippen,10.18129/B9.BIOC.MIQC
MIRA,GPL-3,John Lawson,10.18129/B9.BIOC.MIRA
miRBaseConverter,GPL (>= 2),Taosheng Xu,10.18129/B9.BIOC.MIRBASECONVERTER
miRcomp,GPL-3,Matthew N. McCall,10.18129/B9.BIOC.MIRCOMP
mirIntegrator,GPL (>= 3),Diana Diaz,10.18129/B9.BIOC.MIRINTEGRATOR
miRLAB,GPL (>= 2),Thuc Duy Le,10.18129/B9.BIOC.MIRLAB
miRmine,GPL (>= 3),Dusan Randjelovic,10.18129/B9.BIOC.MIRMINE
miRNApath,LGPL (>= 2.1),James M. Ward,10.18129/B9.BIOC.MIRNAPATH
miRNAtap,GPL-2,T. Ian Simpson,10.18129/B9.BIOC.MIRNATAP
miRSM,GPL-3,Junpeng Zhang,10.18129/B9.BIOC.MIRSM
miRspongeR,GPL-3,Junpeng Zhang,10.18129/B9.BIOC.MIRSPONGER
mirTarRnaSeq,MIT,Mercedeh Movassagh,10.18129/B9.BIOC.MIRTARRNASEQ
missMethyl,GPL-2,Belinda Phipson,10.18129/B9.BIOC.MISSMETHYL
missRows,Artistic-2.0,Gonzalez Ignacio,10.18129/B9.BIOC.MISSROWS
mistyR,GPL-3,Jovan Tanevski,10.18129/B9.BIOC.MISTYR
mitoClone2,GPL-3,Benjamin Story,10.18129/B9.BIOC.MITOCLONE2
mixOmics,GPL (>= 2),Al J Abadi,10.18129/B9.BIOC.MIXOMICS
MLInterfaces,LGPL (>= 2.1),V. Carey,10.18129/B9.BIOC.MLINTERFACES
MLP,GPL-3,Tobias Verbeke,10.18129/B9.BIOC.MLP
MMAPPR2,GPL-3,Jonathon Hill,10.18129/B9.BIOC.MMAPPR2
MMDiff2,Artistic-2.0,Gabriele Schweikert,10.18129/B9.BIOC.MMDIFF2
MMUPHin,MIT,Siyuan MA,10.18129/B9.BIOC.MMUPHIN
mnem,GPL-3,Martin Pirkl,10.18129/B9.BIOC.MNEM
moanin,BSD 3-clause License,Nelle Varoquaux,10.18129/B9.BIOC.MOANIN
MobilityTransformR,Artistic-2.0,Liesa Salzer,10.18129/B9.BIOC.MOBILITYTRANSFORMR
MODA,GPL (>= 2),Dong Li,10.18129/B9.BIOC.MODA
ModCon,GPL-3,Johannes Ptok,10.18129/B9.BIOC.MODCON
Modstrings,Artistic-2.0,Felix G.M. Ernst,10.18129/B9.BIOC.MODSTRINGS
MOFA2,GPL (>= 2),Britta Velten,10.18129/B9.BIOC.MOFA2
MOGAMUN,GPL-3,Elva-María Novoa-del-Toro,10.18129/B9.BIOC.MOGAMUN
mogsa,GPL-2,Chen Meng,10.18129/B9.BIOC.MOGSA
MOMA,GPL-3,Sunny Jones,10.18129/B9.BIOC.MOMA
monaLisa,GPL (>= 3),Michael Stadler,10.18129/B9.BIOC.MONALISA
monocle,Artistic-2.0,Cole Trapnell,10.18129/B9.BIOC.MONOCLE
MoonlightR,GPL (>= 3),Matteo Tiberti,10.18129/B9.BIOC.MOONLIGHTR
mosaics,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.MOSAICS
mosbi,AGPL-3,Tim Daniel Rose,10.18129/B9.BIOC.MOSBI
MOSim,GPL-3,Carlos Martínez,10.18129/B9.BIOC.MOSIM
Motif2Site,GPL-2,Peyman Zarrineh,10.18129/B9.BIOC.MOTIF2SITE
motifcounter,GPL-2,Wolfgang Kopp,10.18129/B9.BIOC.MOTIFCOUNTER
motifmatchr,GPL-3,Alicia Schep,10.18129/B9.BIOC.MOTIFMATCHR
MPFE,GPL (>= 3),Conrad Burden,10.18129/B9.BIOC.MPFE
MPRAnalyze,GPL-3,Tal Ashuach,10.18129/B9.BIOC.MPRANALYZE
MQmetrics,GPL-3,Alvaro Sanchez-Villalba,10.18129/B9.BIOC.MQMETRICS
MSA2dist,MIT,Kristian K Ullrich,10.18129/B9.BIOC.MSA2DIST
MsBackendMassbank,Artistic-2.0,RforMassSpectrometry Package Maintainer,10.18129/B9.BIOC.MSBACKENDMASSBANK
MsBackendMgf,Artistic-2.0,RforMassSpectrometry Package Maintainer,10.18129/B9.BIOC.MSBACKENDMGF
MsBackendMsp,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.MSBACKENDMSP
MsCoreUtils,Artistic-2.0,RforMassSpectrometry Package Maintainer,10.18129/B9.BIOC.MSCOREUTILS
MsFeatures,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.MSFEATURES
msgbsR,GPL-2,Benjamin Mayne,10.18129/B9.BIOC.MSGBSR
msImpute,GPL (>= 2),Soroor Hediyeh-zadeh,10.18129/B9.BIOC.MSIMPUTE
msmsEDA,GPL-2,Josep Gregori,10.18129/B9.BIOC.MSMSEDA
msmsTests,GPL-2,Josep Gregori i Font,10.18129/B9.BIOC.MSMSTESTS
MSnbase,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.MSNBASE
MSnID,Artistic-2.0,Vlad Petyuk,10.18129/B9.BIOC.MSNID
MSPrep,GPL-3,Max McGrath,10.18129/B9.BIOC.MSPREP
MSstats,Artistic-2.0,Meena Choi,10.18129/B9.BIOC.MSSTATS
MSstatsConvert,Artistic-2.0,Mateusz Staniak,10.18129/B9.BIOC.MSSTATSCONVERT
MSstatsLiP,Artistic-2.0,Devon Kohler,10.18129/B9.BIOC.MSSTATSLIP
MSstatsPTM,Artistic-2.0,Devon Kohler,10.18129/B9.BIOC.MSSTATSPTM
MSstatsQC,Artistic License 2.0,Eralp Dogu,10.18129/B9.BIOC.MSSTATSQC
MSstatsQCgui,Artistic License 2.0,Eralp Dogu,10.18129/B9.BIOC.MSSTATSQCGUI
MSstatsSampleSize,Artistic-2.0,Ting Huang,10.18129/B9.BIOC.MSSTATSSAMPLESIZE
MSstatsTMT,Artistic-2.0,Ting Huang,10.18129/B9.BIOC.MSSTATSTMT
MuData,GPL-3,Danila Bredikhin,10.18129/B9.BIOC.MUDATA
Mulcom,GPL-2,Claudio Isella,10.18129/B9.BIOC.MULCOM
MultiAssayExperiment,Artistic-2.0,Marcel Ramos,10.18129/B9.BIOC.MULTIASSAYEXPERIMENT
MultiBaC,GPL-3,The package maintainer,10.18129/B9.BIOC.MULTIBAC
multiClust,GPL (>= 2),Nathan Lawlor,10.18129/B9.BIOC.MULTICLUST
MultiMed,GPL (>= 2),Simina M. Boca,10.18129/B9.BIOC.MULTIMED
multiOmicsViz,LGPL (>= 2.1),Jing Wang,10.18129/B9.BIOC.MULTIOMICSVIZ
multiscan,GPL (>= 2),Mizanur Khondoker,10.18129/B9.BIOC.MULTISCAN
multiSight,CeCILL,Florian Jeanneret,10.18129/B9.BIOC.MULTISIGHT
multtest,LGPL (>= 2.1),Katherine S. Pollard,10.18129/B9.BIOC.MULTTEST
mumosa,GPL-3,Aaron Lun,10.18129/B9.BIOC.MUMOSA
MungeSumstats,Artistic-2.0,Alan Murphy,10.18129/B9.BIOC.MUNGESUMSTATS
muscat,GPL-3,Helena L. Crowell,10.18129/B9.BIOC.MUSCAT
musicatk,LGPL (>= 2.1),Aaron Chevalier,10.18129/B9.BIOC.MUSICATK
MutationalPatterns,MIT,Mark van Roosmalen,10.18129/B9.BIOC.MUTATIONALPATTERNS
MVCClass,LGPL (>= 2.1),Elizabeth Whalen,10.18129/B9.BIOC.MVCCLASS
mygene,Artistic-2.0,"Adam Mark, Cyrus Afrasiabi, Chunlei Wu",10.18129/B9.BIOC.MYGENE
myvariant,Artistic-2.0,"Adam Mark, Chunlei Wu",10.18129/B9.BIOC.MYVARIANT
mzID,GPL (>= 2),Laurent Gatto,10.18129/B9.BIOC.MZID
"NADfinder",GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.NADFINDER
NanoMethViz,Apache License 2.0,Shian Su,10.18129/B9.BIOC.NANOMETHVIZ
NanoStringDiff,GPL,tingting zhai,10.18129/B9.BIOC.NANOSTRINGDIFF
NanoStringNCTools,MIT,Nicole Ortogero,10.18129/B9.BIOC.NANOSTRINGNCTOOLS
NanoStringQCPro,Artistic-2.0,Robert Ziman,10.18129/B9.BIOC.NANOSTRINGQCPRO
NanoTube,GPL-3,Caleb Class,10.18129/B9.BIOC.NANOTUBE
NBSplice,GPL (>= 2),Gabriela Merino,10.18129/B9.BIOC.NBSPLICE
ncGTW,GPL-2,Chiung-Ting Wu,10.18129/B9.BIOC.NCGTW
NCIgraph,GPL-3,Laurent Jacob,10.18129/B9.BIOC.NCIGRAPH
ncRNAtools,GPL-3,Lara Selles Vidal,10.18129/B9.BIOC.NCRNATOOLS
ndexr,BSD_3_clause,Florian Auer,10.18129/B9.BIOC.NDEXR
nearBynding,Artistic-2.0,Veronica Busa,10.18129/B9.BIOC.NEARBYNDING
Nebulosa,GPL-3,Jose Alquicira-Hernandez,10.18129/B9.BIOC.NEBULOSA
NeighborNet,CC BY-NC-ND 4.0,Sahar Ansari,10.18129/B9.BIOC.NEIGHBORNET
nempi,GPL-3,Martin Pirkl,10.18129/B9.BIOC.NEMPI
netbiov,GPL (>= 2),Shailesh tripathi,10.18129/B9.BIOC.NETBIOV
netboxr,LGPL (>= 2.1),Eirc Minwei Liu,10.18129/B9.BIOC.NETBOXR
nethet,GPL-2,Nicolas Staedler,10.18129/B9.BIOC.NETHET
netOmics,GPL-3,Antoine Bodein,10.18129/B9.BIOC.NETOMICS
NetPathMiner,GPL (>= 2),Ahmed Mohamed,10.18129/B9.BIOC.NETPATHMINER
netprioR,GPL-3,Fabian Schmich,10.18129/B9.BIOC.NETPRIOR
netresponse,GPL (>= 2),Leo Lahti,10.18129/B9.BIOC.NETRESPONSE
NetSAM,LGPL (>= 2.1),Zhiao Shi,10.18129/B9.BIOC.NETSAM
networkBMA,GPL (>= 2),Ka Yee Yeung,10.18129/B9.BIOC.NETWORKBMA
netZooR,GPL-3,Marouen Ben Guebila,10.18129/B9.BIOC.NETZOOR
NeuCA,GPL-2,Hao Feng,10.18129/B9.BIOC.NEUCA
NewWave,GPL-3,Federico Agostinis,10.18129/B9.BIOC.NEWWAVE
nnNorm,LGPL (>= 2.1),Adi Laurentiu Tarca,10.18129/B9.BIOC.NNNORM
nnSVG,MIT,Lukas M. Weber,10.18129/B9.BIOC.NNSVG
NOISeq,Artistic-2.0,Sonia Tarazona,10.18129/B9.BIOC.NOISEQ
nondetects,GPL-3,Valeriia Sherina,10.18129/B9.BIOC.NONDETECTS
NoRCE,MIT,Gulden Olgun,10.18129/B9.BIOC.NORCE
normalize450K,BSD_2_clause,Jonathan Alexander Heiss,10.18129/B9.BIOC.NORMALIZE450K
normr,GPL-2,Johannes Helmuth,10.18129/B9.BIOC.NORMR
NPARC,GPL-3,Nils Kurzawa,10.18129/B9.BIOC.NPARC
NTW,GPL-2,Yuanhua Liu,10.18129/B9.BIOC.NTW
nucleR,LGPL (>= 2.1),Alba Sala,10.18129/B9.BIOC.NUCLER
nullranges,GPL-3,Michael Love,10.18129/B9.BIOC.NULLRANGES
NuPoP,GPL-2,Ji-Ping Wang,10.18129/B9.BIOC.NUPOP
NxtIRFcore,MIT,Alex Chit Hei Wong,10.18129/B9.BIOC.NXTIRFCORE
occugene,GPL (>= 2),Oliver Will,10.18129/B9.BIOC.OCCUGENE
OCplus,LGPL (>= 2.1),Alexander Ploner,10.18129/B9.BIOC.OCPLUS
ODER,Artistic-2.0,David Zhang,10.18129/B9.BIOC.ODER
odseq,MIT,José Jiménez,10.18129/B9.BIOC.ODSEQ
OGRE,Artistic-2.0,Sven Berres,10.18129/B9.BIOC.OGRE
oligoClasses,GPL (>= 2),Benilton Carvalho,10.18129/B9.BIOC.OLIGOCLASSES
OLIN,GPL-2,Matthias Futschik,10.18129/B9.BIOC.OLIN
OLINgui,GPL-2,Matthias Futschik,10.18129/B9.BIOC.OLINGUI
OmaDB,GPL-3,Klara Kaleb,10.18129/B9.BIOC.OMADB
omicade4,GPL-2,Chen Meng,10.18129/B9.BIOC.OMICADE4
OmicCircos,GPL-2,Ying Hu,10.18129/B9.BIOC.OMICCIRCOS
omicplotR,MIT,Daniel Giguere,10.18129/B9.BIOC.OMICPLOTR
omicRexposome,MIT,Xavier Escribà Montagut,10.18129/B9.BIOC.OMICREXPOSOME
OmicsLonDA,MIT,Ahmed A. Metwally,10.18129/B9.BIOC.OMICSLONDA
OMICsPCA,GPL-3,Subhadeep Das,10.18129/B9.BIOC.OMICSPCA
omicsPrint,GPL (>= 2),Davy Cats,10.18129/B9.BIOC.OMICSPRINT
omicsViewer,GPL-2,Chen Meng,10.18129/B9.BIOC.OMICSVIEWER
Omixer,MIT,Lucy Sinke,10.18129/B9.BIOC.OMIXER
ompBAM,MIT,Alex Chit Hei Wong,10.18129/B9.BIOC.OMPBAM
oncomix,GPL-3,Daniel Pique,10.18129/B9.BIOC.ONCOMIX
oneSENSE,GPL (>= 3),Yong Kee Tan,10.18129/B9.BIOC.ONESENSE
openPrimeR,GPL-2,Matthias Döring,10.18129/B9.BIOC.OPENPRIMER
openPrimeRui,GPL-2,Matthias Döring,10.18129/B9.BIOC.OPENPRIMERUI
OpenStats,GPL (>= 2),Hamed Haseli Mashhadi,10.18129/B9.BIOC.OPENSTATS
oposSOM,GPL (>= 2),Henry Loeffler-Wirth,10.18129/B9.BIOC.OPOSSOM
oppar,GPL-2,Soroor Hediyeh zadeh,10.18129/B9.BIOC.OPPAR
oppti,MIT,Abdulkadir Elmas,10.18129/B9.BIOC.OPPTI
optimalFlow,Artistic-2.0,Hristo Inouzhe,10.18129/B9.BIOC.OPTIMALFLOW
OPWeight,Artistic-2.0,Mohamad Hasan,10.18129/B9.BIOC.OPWEIGHT
OrderedList,GPL (>= 2),Claudio Lottaz,10.18129/B9.BIOC.ORDEREDLIST
ORFhunteR,Artistic-2.0,Vasily V. Grinev,10.18129/B9.BIOC.ORFHUNTER
Organism.dplyr,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.ORGANISM.DPLYR
OrganismDbi,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ORGANISMDBI
orthogene,GPL-3,Brian Schilder,10.18129/B9.BIOC.ORTHOGENE
OSAT,Artistic-2.0,Li Yan,10.18129/B9.BIOC.OSAT
Oscope,Artistic-2.0,Ning Leng,10.18129/B9.BIOC.OSCOPE
OTUbase,Artistic-2.0,Daniel Beck,10.18129/B9.BIOC.OTUBASE
OVESEG,GPL-2,Lulu Chen,10.18129/B9.BIOC.OVESEG
packFinder,GPL-2,Jack Gisby,10.18129/B9.BIOC.PACKFINDER
padma,GPL (>= 3),Andrea Rau,10.18129/B9.BIOC.PADMA
PADOG,GPL (>= 2),Adi L. Tarca,10.18129/B9.BIOC.PADOG
pageRank,GPL-2,Hongxu Ding,10.18129/B9.BIOC.PAGERANK
PAIRADISE,MIT,Qiang Hu,10.18129/B9.BIOC.PAIRADISE
paircompviz,GPL (>= 3.0),Michal Burda,10.18129/B9.BIOC.PAIRCOMPVIZ
pairkat,GPL-3,Max McGrath,10.18129/B9.BIOC.PAIRKAT
pandaR,GPL-2,Joseph N. Paulson,10.18129/B9.BIOC.PANDAR
PanomiR,MIT,Pourya Naderi,10.18129/B9.BIOC.PANOMIR
panp,GPL (>= 2),Peter Warren,10.18129/B9.BIOC.PANP
PANR,Artistic-2.0,Xin Wang,10.18129/B9.BIOC.PANR
pareg,GPL-3,Kim Philipp Jablonski,10.18129/B9.BIOC.PAREG
parglms,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.PARGLMS
parody,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.PARODY
PAST,GPL (>= 3),Thrash Adam,10.18129/B9.BIOC.PAST
Path2PPI,GPL (>= 2),Oliver Philipp,10.18129/B9.BIOC.PATH2PPI
PathNet,GPL-3,Ludwig Geistlinger,10.18129/B9.BIOC.PATHNET
PathoStat,GPL (>= 2),Solaiappan Manimaran,10.18129/B9.BIOC.PATHOSTAT
pathRender,LGPL (>= 2.1),Vince Carey,10.18129/B9.BIOC.PATHRENDER
pathVar,LGPL (>= 2.1),Samuel Zimmerman,10.18129/B9.BIOC.PATHVAR
pathwayPCA,GPL-3,Gabriel Odom,10.18129/B9.BIOC.PATHWAYPCA
paxtoolsr,LGPL (>= 2.1),Augustin Luna,10.18129/B9.BIOC.PAXTOOLSR
pcaMethods,GPL (>= 3),Henning Redestig,10.18129/B9.BIOC.PCAMETHODS
PCAtools,GPL-3,Kevin Blighe,10.18129/B9.BIOC.PCATOOLS
pcxn,MIT,Sokratis Kariotis,10.18129/B9.BIOC.PCXN
PDATK,MIT,Benjamin Haibe-Kains,10.18129/B9.BIOC.PDATK
pdInfoBuilder,Artistic-2.0,Benilton Carvalho,10.18129/B9.BIOC.PDINFOBUILDER
PeacoQC,GPL (>= 3),Annelies Emmaneel,10.18129/B9.BIOC.PEACOQC
peakPantheR,GPL-3,Arnaud Wolfer,10.18129/B9.BIOC.PEAKPANTHER
PECA,GPL (>= 2),Tomi Suomi,10.18129/B9.BIOC.PECA
peco,GPL (>= 3),Chiaowen Joyce Hsiao,10.18129/B9.BIOC.PECO
pengls,GPL-2,Stijn Hawinkel,10.18129/B9.BIOC.PENGLS
PepsNMR,GPL-2,Manon Martin,10.18129/B9.BIOC.PEPSNMR
pepStat,Artistic-2.0,Gregory C Imholte,10.18129/B9.BIOC.PEPSTAT
pepXMLTab,Artistic-2.0,Xiaojing Wang,10.18129/B9.BIOC.PEPXMLTAB
PERFect,Artistic-2.0,Quy Cao,10.18129/B9.BIOC.PERFECT
periodicDNA,GPL-3,Jacques Serizay,10.18129/B9.BIOC.PERIODICDNA
PFP,GPL-2,XC Zhang,10.18129/B9.BIOC.PFP
pgca,GPL (>= 2),Gabriela Cohen-Freue,10.18129/B9.BIOC.PGCA
phantasus,MIT,Alexey Sergushichev,10.18129/B9.BIOC.PHANTASUS
PharmacoGx,Artistic-2.0,Benjamin Haibe-Kains,10.18129/B9.BIOC.PHARMACOGX
phemd,GPL-2,William S Chen,10.18129/B9.BIOC.PHEMD
PhenoGeneRanker,Creative Commons Attribution 4.0 International License,Cagatay Dursun,10.18129/B9.BIOC.PHENOGENERANKER
phenopath,Apache License 2.0,Kieran Campbell,10.18129/B9.BIOC.PHENOPATH
phenoTest,GPL (>= 2),Evarist Planet,10.18129/B9.BIOC.PHENOTEST
PhIPData,MIT,Athena Chen,10.18129/B9.BIOC.PHIPDATA
phosphonormalizer,GPL (>= 2),Sohrab Saraei,10.18129/B9.BIOC.PHOSPHONORMALIZER
PhosR,GPL-3,Taiyun Kim,10.18129/B9.BIOC.PHOSR
PhyloProfile,MIT,Vinh Tran,10.18129/B9.BIOC.PHYLOPROFILE
phyloseq,AGPL-3,Paul J. McMurdie,10.18129/B9.BIOC.PHYLOSEQ
pickgene,GPL (>= 2),Brian S. Yandell,10.18129/B9.BIOC.PICKGENE
PICS,Artistic-2.0,Renan Sauteraud,10.18129/B9.BIOC.PICS
Pigengene,GPL (>= 2),Habil Zare,10.18129/B9.BIOC.PIGENGENE
PING,Artistic-2.0,Renan Sauteraud,10.18129/B9.BIOC.PING
pipeFrame,GPL-3,Zheng Wei,10.18129/B9.BIOC.PIPEFRAME
pkgDepTools,GPL-2,Bioconductor Package Maintainer,10.18129/B9.BIOC.PKGDEPTOOLS
planet,GPL-2,Victor Yuan,10.18129/B9.BIOC.PLANET
plethy,GPL-3,Daniel Bottomly,10.18129/B9.BIOC.PLETHY
plier,GPL (>= 2),Crispin Miller,10.18129/B9.BIOC.PLIER
PloGO2,GPL-2,Jemma Wu,10.18129/B9.BIOC.PLOGO2
plotgardener,MIT,Nicole Kramer,10.18129/B9.BIOC.PLOTGARDENER
plotGrouper,GPL-3,John D. Gagnon,10.18129/B9.BIOC.PLOTGROUPER
PLPE,GPL (>= 2),Soo-heang Eo,10.18129/B9.BIOC.PLPE
plyranges,Artistic-2.0,Stuart Lee,10.18129/B9.BIOC.PLYRANGES
pmm,GPL-3,Anna Drewek,10.18129/B9.BIOC.PMM
pmp,GPL-3,Gavin Rhys Lloyd,10.18129/B9.BIOC.PMP
PoDCall,GPL-3,Hans Petter Brodal,10.18129/B9.BIOC.PODCALL
podkat,GPL (>= 2),Ulrich Bodenhofer,10.18129/B9.BIOC.PODKAT
pogos,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.POGOS
polyester,Artistic-2.0,Jack Fu,10.18129/B9.BIOC.POLYESTER
POMA,GPL-3,Pol Castellano-Escuder,10.18129/B9.BIOC.POMA
PoTRA,LGPL (>= 2.1),Margaret Linan,10.18129/B9.BIOC.POTRA
powerTCR,Artistic-2.0,Hillary Koch,10.18129/B9.BIOC.POWERTCR
POWSC,GPL-2,Kenong Su,10.18129/B9.BIOC.POWSC
ppcseq,GPL-3,Stefano Mangiola,10.18129/B9.BIOC.PPCSEQ
PPInfer,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.PPINFER
ppiStats,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.PPISTATS
preciseTAD,MIT,Mikhail Dozmorov,10.18129/B9.BIOC.PRECISETAD
PrecisionTrialDrawer,GPL-3,Giorgio Melloni,10.18129/B9.BIOC.PRECISIONTRIALDRAWER
PREDA,GPL-2,Francesco Ferrari,10.18129/B9.BIOC.PREDA
preprocessCore,LGPL (>= 2.1),Ben Bolstad,10.18129/B9.BIOC.PREPROCESSCORE
primirTSS,GPL-2,Pumin Li,10.18129/B9.BIOC.PRIMIRTSS
PrInCE,GPL-3,Michael Skinnider,10.18129/B9.BIOC.PRINCE
proBAMr,Artistic-2.0,Xiaojing Wang,10.18129/B9.BIOC.PROBAMR
proBatch,GPL-3,Chloe H. Lee,10.18129/B9.BIOC.PROBATCH
PROcess,Artistic-2.0,Xiaochun Li,10.18129/B9.BIOC.PROCESS
proDA,GPL-3,Constantin Ahlmann-Eltze,10.18129/B9.BIOC.PRODA
proFIA,CeCILL,Alexis Delabriere,10.18129/B9.BIOC.PROFIA
profileplyr,GPL (>= 3),Tom Carroll,10.18129/B9.BIOC.PROFILEPLYR
profileScoreDist,MIT,Paal O. Westermark,10.18129/B9.BIOC.PROFILESCOREDIST
progeny,Apache License 2.0,Aurélien Dugourd,10.18129/B9.BIOC.PROGENY
projectR,GPL (== 2),Genevieve Stein-O'Brien,10.18129/B9.BIOC.PROJECTR
pRoloc,GPL-2,Laurent Gatto,10.18129/B9.BIOC.PROLOC
pRolocGUI,GPL-2,Laurent Gatto,10.18129/B9.BIOC.PROLOCGUI
PROMISE,GPL (>= 2),Stan Pounds,10.18129/B9.BIOC.PROMISE
PROPS,GPL-2,Lichy Han,10.18129/B9.BIOC.PROPS
Prostar,Artistic-2.0,Samuel Wieczorek,10.18129/B9.BIOC.PROSTAR
proteinProfiles,GPL-3,Julian Gehring,10.18129/B9.BIOC.PROTEINPROFILES
ProteoDisco,GPL-3,Job van Riet,10.18129/B9.BIOC.PROTEODISCO
ProteoMM,MIT,Yuliya V Karpievitch,10.18129/B9.BIOC.PROTEOMM
protGear,GPL-3,Kennedy Mwai,10.18129/B9.BIOC.PROTGEAR
ProtGenerics,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.PROTGENERICS
psichomics,MIT,Nuno Saraiva-Agostinho,10.18129/B9.BIOC.PSICHOMICS
PSICQUIC,Apache License 2.0,Paul Shannon,10.18129/B9.BIOC.PSICQUIC
PSMatch,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.PSMATCH
psygenet2r,MIT,Alba Gutierrez-Sacristan,10.18129/B9.BIOC.PSYGENET2R
ptairMS,GPL-3,"c(""camille Roquencourt"", ""camille Roquencourt"")",10.18129/B9.BIOC.PTAIRMS
PubScore,MIT,Tiago Lubiana,10.18129/B9.BIOC.PUBSCORE
pulsedSilac,GPL-3,Marc Pagès-Gallego,10.18129/B9.BIOC.PULSEDSILAC
puma,LGPL (>= 2.1),Xuejun Liu,10.18129/B9.BIOC.PUMA
pvac,LGPL (>= 2.1),Jun Lu,10.18129/B9.BIOC.PVAC
pvca,LGPL (>= 2.1),Jianying LI,10.18129/B9.BIOC.PVCA
Pviz,Artistic-2.0,Renan Sauteraud,10.18129/B9.BIOC.PVIZ
PWMEnrich,LGPL (>= 2.1),Diego Diez,10.18129/B9.BIOC.PWMENRICH
pwOmics,GPL (>= 2),Maren Sitte,10.18129/B9.BIOC.PWOMICS
qckitfastq,Artistic-2.0,August Guang,10.18129/B9.BIOC.QCKITFASTQ
qcmetrics,GPL-2,Laurent Gatto,10.18129/B9.BIOC.QCMETRICS
QDNAseq,GPL,Daoud Sie,10.18129/B9.BIOC.QDNASEQ
QFeatures,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.QFEATURES
qmtools,GPL-3,Jaehyun Joo,10.18129/B9.BIOC.QMTOOLS
qpcrNorm,LGPL (>= 2.1),Jessica Mar,10.18129/B9.BIOC.QPCRNORM
qpgraph,GPL (>= 2),Robert Castelo,10.18129/B9.BIOC.QPGRAPH
qrqc,GPL (>= 2),Vince Buffalo,10.18129/B9.BIOC.QRQC
qsmooth,CC BY 4.0,Stephanie C. Hicks,10.18129/B9.BIOC.QSMOOTH
qsvaR,Artistic-2.0,Joshua Stolz,10.18129/B9.BIOC.QSVAR
Qtlizer,GPL-3,Matthias Munz,10.18129/B9.BIOC.QTLIZER
quantiseqr,GPL-3,Federico Marini,10.18129/B9.BIOC.QUANTISEQR
quantro,GPL (>= 3),Stephanie Hicks,10.18129/B9.BIOC.QUANTRO
quantsmooth,GPL-2,Jan Oosting,10.18129/B9.BIOC.QUANTSMOOTH
QuartPAC,GPL-2,Gregory Ryslik,10.18129/B9.BIOC.QUARTPAC
QuaternaryProd,GPL (>= 3),Carl Tony Fakhry,10.18129/B9.BIOC.QUATERNARYPROD
qusage,GPL (>= 2),Christopher Bolen,10.18129/B9.BIOC.QUSAGE
qvalue,LGPL (>= 2.1),John D. Storey,10.18129/B9.BIOC.QVALUE
R3CPET,GPL (>= 2),Mohamed Nadhir Djekidel,10.18129/B9.BIOC.R3CPET
r3Cseq,GPL-3,Supat Thongjuea,10.18129/B9.BIOC.R3CSEQ
R453Plus1Toolbox,LGPL (>= 2.1),Hans-Ulrich Klein,10.18129/B9.BIOC.R453PLUS1TOOLBOX
R4RNA,GPL-3,Daniel Lai,10.18129/B9.BIOC.R4RNA
RaggedExperiment,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.RAGGEDEXPERIMENT
rama,GPL (>= 2),Raphael Gottardo,10.18129/B9.BIOC.RAMA
ramr,Artistic-2.0,Oleksii Nikolaienko,10.18129/B9.BIOC.RAMR
randPack,Artistic-2.0,Robert Gentleman,10.18129/B9.BIOC.RANDPACK
randRotation,GPL-3,Peter Hettegger,10.18129/B9.BIOC.RANDROTATION
RAREsim,GPL-3,Ryan Barnard,10.18129/B9.BIOC.RARESIM
RareVariantVis,Artistic-2.0,Tomasz Stokowy,10.18129/B9.BIOC.RAREVARIANTVIS
RbcBook1,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.RBCBOOK1
Rbec,LGPL (>= 2.1),Pengfan Zhang,10.18129/B9.BIOC.RBEC
RBGL,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.RBGL
RBioinf,Artistic-2.0,Robert Gentleman,10.18129/B9.BIOC.RBIOINF
rBiopaxParser,GPL (>= 2),Frank Kramer,10.18129/B9.BIOC.RBIOPAXPARSER
